t,EE,SE
3.1750000000000003,7942.993184201062,81.2130835951298
3.2,7867.215402720484,80.50296158368654
3.225,7797.856165610686,79.86528939288516
3.25,7736.6989662751985,79.17820338692856
3.2750000000000004,7667.348821669791,78.42246296554772
3.3000000000000003,7603.89818828671,77.97069179428469
3.325,7544.049411809039,77.37531444980984
3.35,7482.018462488022,76.56430756576123
3.375,7407.650392123255,75.88576265183221
3.4000000000000004,7331.543528457752,75.33539698393992
3.4250000000000003,7286.870156161403,74.81974809460033
3.45,7217.666229374309,74.07129743452697
3.475,7141.135687704909,73.25164183762483
3.5,7069.017323211059,72.53850394534864
3.5250000000000004,6983.478997164549,71.68886355449845
3.5500000000000003,6914.659376134657,71.0796237308668
3.575,6824.17026351684,70.45165995919564
3.6,6754.798489019896,69.74606859929936
3.625,6666.017392854613,68.74427953996637
3.6500000000000004,6603.5187950876025,67.89827946434131
3.6750000000000003,6507.343680637885,66.96159714384483
3.7,6448.261684140203,66.15897922594749
3.725,6370.916310425936,65.26342869018877
3.75,6296.872995068665,64.49369517451204
3.7750000000000004,6199.230921704685,63.65259242920929
3.8000000000000003,6132.489756164246,62.68748685815954
3.825,6039.94281780851,61.738127707458396
3.85,5961.495758052302,60.99526166640366
3.875,5896.833576051811,60.21312525424023
3.9000000000000004,5810.480766356257,59.3820421050539
3.9250000000000003,5738.325117167228,58.53381265233612
3.95,5646.275209702089,57.65034037789786
3.975,5549.776014972258,56.65837498674545
4.0,5467.10168633632,55.78188813849558
4.025,5374.572612161012,54.9552781806861
4.05,5291.9799891914,54.0620617943742
4.075,5191.3924871449035,52.98482194214459
4.1000000000000005,5097.752734249352,52.054245998317256
4.125,5000.352389922045,51.020942309323814
4.15,4897.282706639439,49.863138749309876
4.175,4801.582440334217,48.889554440577314
4.2,4673.817389945746,47.69994073657936
4.2250000000000005,4562.478501603722,46.629040125927766
4.25,4445.464857501227,45.50507641845244
4.275,4320.707195535893,44.31752909153653
4.3,4204.052398413879,43.13238911150763
4.325,4080.5700733754493,41.86837519402384
4.3500000000000005,3950.6594855443745,40.56399229703078
4.375,3824.342658835733,39.36944193464019
4.4,3695.0733661357244,38.05002296103576
4.425,3564.9877112789472,36.69866118641727
4.45,3431.3426034225995,35.34375126750308
4.4750000000000005,3300.576973818776,33.85820450277362
4.5,3169.9829580857217,32.48214484195377
4.525,3032.169849709119,31.036502744411152
4.55,2887.5950954697373,29.60387633208632
4.575,2738.5165238745967,28.128196333153856
4.6000000000000005,2600.56315032602,26.711150847877644
4.625,2457.4266274297856,25.241715489991183
4.65,2317.4176589354934,23.761252856521292
4.675,2156.2944388170818,22.15875632441317
4.7,2006.5954951969668,20.604688084210203
4.7250000000000005,1855.1236606876541,19.023409149101017
4.75,1698.4419612683685,17.440423420956535
4.775,1542.0636285162736,15.785699334471648
4.800000000000001,1384.8490811791924,14.186801690487991
4.825,1222.4631793184283,12.51393526399217
4.8500000000000005,1054.086446745027,10.791359227387142
4.875,884.6632261349514,9.054122418089602
4.9,710.4959404167416,7.297537513657996
4.925000000000001,536.5148405526048,5.507699531766758
4.95,359.83382751495947,3.699283319407991
4.9750000000000005,180.87395887707643,1.862834907817091
5.0,0.0,0.0
